District,DistrictABV,Matrix,SDImax,RD,QMD,TPA,BAPA,CordsPerAcre,VBAR,Acres
Rangeley,RY,HS2C-N,292.7120786,0.382,7.81226539,317.4159528,89.71037917,21.81775808,0.243202161,326.6981358
Rangeley,RY,HS3A-N,331.9400924,0.406470588,9.779961689,234.7051502,102.0999559,30.55207022,0.29923686,1940.746594
Rangeley,RY,HS3B-N,355.8281391,0.372941176,9.875314431,193.7922617,81.40247814,22.77900441,0.27983183,4086.564916
Rangeley,RY,HS3C-N,340.8622901,0.39016129,9.071345911,231.5746599,79.22658954,19.72825098,0.249010479,4348.772834
Rangeley,RY,HS3D-N,330.4716523,0.354852941,7.91360116,236.5920865,65.09530035,14.78936567,0.227195598,3025.883186
Rangeley,RY,HS4A-N,378.8452472,0.425,10.65613712,211.8161068,115.1915782,32.88169815,0.285452276,2263.286739
Rangeley,RY,HS4B-N,363.1720889,0.391037736,10.51697121,192.1609447,94.41956297,28.51533009,0.302006588,5386.987721
Rangeley,RY,HS4C-N,320.9329275,0.348695652,11.49003003,135.1205343,69.87658994,20.07089945,0.287233528,548.2971915
Rangeley,RY,HS4D-N,342.7533108,0.416428571,11.23605534,138.3813364,45.06240477,11.05602955,0.245349302,710.6558409
Rangeley,RY,S1A-N,334.8985376,0.375454545,7.598661141,283.7825801,62.8066601,11.97027418,0.190589249,736.982294
Rangeley,RY,S1A-P,338.2138353,0.467142857,6.611135997,494.5642497,92.42499168,13.4530114,0.145555993,364.8999249
Rangeley,RY,S1B-N,322.8617486,0.339473684,9.279026858,164.7899253,48.36998061,11.25896416,0.232767597,2125.631613
Rangeley,RY,S1B-P,308.1547997,0.352142857,7.111364538,333.8407962,73.24852174,14.59939809,0.199313211,1676.903454
Rangeley,RY,S1C-N,315.9249881,0.188,9.502344881,57.71700222,18.97959839,4.947364266,0.26066749,1466.416373
Rangeley,RY,S1D-N,289.1791151,0.188,9.502344881,156.5536978,32.48682743,4.162561506,0.128130748,517.1393774
Rangeley,RY,S2A-N,340.178732,0.302857143,8.632035382,289.2289875,78.60686194,18.44825236,0.234690101,961.0486063
